rail,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
3,work,fastener,ASNA2392-3-04,576,5,14,LINEAR,CRT,100,0,134.54,1546.71,4.73,-90.00,-87.92,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,574,6,15,LINEAR,CRT,100,0,118.31,1546.71,25.16,-90.00,-83.00,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,573,7,16,LINEAR,CRT,100,0,112.47,1546.71,4.70,-90.00,-85.02,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,572,8,17,LINEAR,CRT,100,0,95.81,1546.71,24.51,-90.00,-70.00,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,EN6115V3-4,581,9,18,LINEAR,CRT,100,0,87.02,1546.71,5.60,-90.00,-78.00,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,EN6115V3-4,580,10,19,LINEAR,CRT,100,0,58.02,1546.71,5.61,-90.00,-81.18,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,571,11,20,LINEAR,CRT,100,0,48.37,1546.71,24.85,-90.00,-74.81,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,567,12,21,LINEAR,CRT,100,0,32.40,1546.71,5.11,-90.00,-70.97,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,566,13,22,LINEAR,CRT,100,0,22.45,1546.71,24.51,-90.00,-69.21,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,568,14,23,LINEAR,CRT,100,0,9.60,1546.71,7.25,-90.00,-71.38,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,565,15,24,LINEAR,CRT,100,0,0.21,1546.71,24.51,-90.00,-65.58,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,569,16,25,LINEAR,CRT,100,0,-12.29,1546.71,7.08,-90.00,-74.39,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,564,17,26,LINEAR,CRT,100,0,-21.58,1546.71,25.19,-90.00,-64.75,0.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,570,18,27,LINEAR,CRT,100,0,-34.09,1546.71,6.51,-90.00,-68.69,0.00,1212.50,F,U,T,0,0,0,3,1
3,clearance,rail,E53233024200,3,4,8,LINEAR,JOINT,100,0,59.78,56.34,-13.84,-103.86,102.50,-6.50,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,7,LINEAR,JOINT,1000,100,58.39,48.78,-19.32,-104.45,99.87,-11.59,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,6,JOINT,JOINT,75,50,59.29,47.44,-21.02,-88.51,106.25,-27.05,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,5,LINEAR,JOINT,1000,50,43.81,46.30,17.95,-102.48,94.41,31.01,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,4,JOINT,JOINT,75,100,31.68,29.92,13.35,-104.80,81.46,28.24,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,3,JOINT,JOINT,75,100,30.79,40.03,-5.71,-88.94,115.58,-13.89,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,2,JOINT,JOINT,75,100,15.93,22.77,-30.35,-1.52,115.53,105.22,1212.50,,,,,,,3,1
3,clearance,rail,E53233024200,3,4,1,JOINT,JOINT,75,100,0.00,18.51,-39.04,0.00,106.04,90.00,1212.50,,,,,,,3,1
